Hike,Key,Value
Wallula Gap - East,Elevation_1,Highest Point: 783 ft.
Wallula Gap - East,Distance,3.5 miles of trails
Wallula Gap - East,Rating,0.00 out of 5
Wallula Gap - East,Rating_Count,(0 votes) Log in to rate
Wallula Gap - East,Wildflowers/Meadows,True
Wallula Gap - East,Mountain views,True
Wallula Gap - East,Dogs allowed on leash,True
Wallula Gap - East,Permits,None
Wallula Gap - East,Trip_Report_Cnt,2
Wallula Gap - East,Description,"These trails provide a multitude of multi-season hikes of varying difficultly. The reward is great views of the Columbia River and the geology of Wallula Gap from the east side of the river. Two loop hikes are listed below, but as you become more familiar, you can create your own routes by linking the trails together. 
Wallula Gap - North Bluff Loop
This trail begins just to the right of the interpretive sign at the site, and leads directly up the left-hand draw. You'll hike to the head of the draw from which a trail to the left leads to the top of the north bluff.
The hike up the draw is strenuous but worth it, since it leads to spectacular views of the river and the channeled scablands to the east, as well as views and further hikes to the north toward the current mouth of the Walla Walla River and the present town of Wallula. While hiking north, it’s possible to head down a draw to the Columbia River and to return to the parking area along the river trail, making a loop.
The north leg approach is moderately steep for about 150 feet, though total elevation gain to the top of the bluff is about 300 feet. The south leg is easier but requires completing the loop to get on top of the bluff. The loop trail crosses a barbed wire fence in two places. The lower valley crossing has a post ladder, but the upper crossing requires crawling under the fence.
Wallula Gap - South Loop
Like the north loop option, this trail also begins to the right of the interpretive sign at the site, and leads down into the right-hand draw, and then up a trail on the right side of the draw providing easy access to the lowest bluff to the south.
From there this trail also provides access to the taller bluff overlooking it, views from which include the wind turbines erected on Whitman College’s Braden Farm to the east and the intervening scablands, as well as an easy path along the bluffs overlooking the river and the Twin Sisters monument.
This loop is about two miles, but the extension adds about a half-mile each way. On the east edge of the loop trail is a barbwire fence that can be easily crossed."
Wallula Gap - East,Directions, The trailhead is 1.4 miles west of the Wallula Junction (the intersection of highway 12 and highway 730) on Highway 730. Wallula Junction is approximately 20 miles south of Pasco and 27 miles west of Walla Walla on Highway 12.  The trailhead is at a small gravel parking area on the west side the highway and marked by a large sign placed there by Walla Walla 2020. 
Wallula Gap - East,Lat,46.0515
Wallula Gap - East,Long,-118.9364
Wallula Gap - East,Trailhead,Eastern Washington -- Palouse and Blue Mountains Walla Walla County See weather forecast 
